CP\J	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9
0.02	5	5	5.3	5.9	6.4																									
0.03	8.2	8.3	8.5	9	9.8	10.9	12.3	13.7	15.3	16.9	18.5	20.1	21.7	23.3																
0.04	10.2	10.5	10.9	11.4	12.2	13	14.1	15.5	17	18.5	19.9	21.5	23	24.5	26	27.5														
0.05	11.7	12.2	12.6	13.2	14	14.9	15.9	17	18.4	19.8	21.2	22.7	24.1	25.5	27	28.4	29.8	31.1	32.4											
0.06	13.2	13.9	14.4	14.9	15.6	16.4	17.4	18.4	19.7	21	22.3	23.7	25.1	26.5	27.9	29.2	30.5	31.8	33.1	34.3	35.5	40.1								
0.07	14.5	15.1	15.8	16.5	17.2	17.9	18.7	19.7	20.9	22.1	23.4	24.7	26	27.3	28.7	30	31.2	32.5	33.7	34.9	36.1	37.2	38.4	39.4	40.5					
0.08	15.7	16.3	17	17.8	18.5	19.2	20	21	22	23.2	24.4	25.6	26.9	28.1	29.4	30.7	31.9	33.1	34.3	35.5	36.6	37.7	38.8	39.9	40.9					
0.09	16.8	17.4	18.1	18.9	19.7	20.4	21.3	22.1	23.1	24.2	25.3	26.5	27.7	28.9	30.1	31.4	32.6	33.7	34.9	36	37.1	38.2	39.3	40.3	41.3	42.3	43.2	44.1		
0.1	18	18.5	19.1	19.8	20.7	21.6	22.4	23.2	24.1	25.1	26.2	27.3	28.5	29.7	30.8	32	33.2	34.3	35.5	36.6	37.6	38.7	39.7	40.7	41.7	42.7	43.6	44.4	45.3	46.1
0.11	19.2	19.6	20.1	20.8	21.7	22.6	23.4	24.3	25.1	26.1	27.1	28.2	29.3	30.4	31.5	32.7	33.8	34.9	36	37.1	38.1	39.1	40.2	41.1	42.1	43	43.9	44.8	45.6	46.4
0.12	20.4	20.8	21.2	21.7	22.5	23.5	24.4	25.3	26.1	27	28	29	30	31.1	32.2	33.3	34.4	35.5	36.5	37.6	38.6	39.6	40.6	41.5	42.5	43.4	44.3	45.1	45.9	46.7
0.13	21.6	22	22.3	22.7	23.4	24.3	25.3	26.2	27.1	27.9	28.8	29.8	30.8	31.8	32.9	33.9	35	36	37	38	39	40	41	41.9	42.8	43.7	44.6	45.4	46.2	47
0.14	22.8	23.2	23.5	23.9	24.3	25.1	26	27.1	27.9	28.8	29.6	30.6	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5	39.5	40.5	41.4	42.3	43.2	44.1	44.9	45.7	46.5	47.3
0.15	23.9	24.3	24.7	25	25.4	25.9	26.8	27.8	28.8	29.6	30.4	31.3	32.2	33.2	34.1	35.1	36.1	37.1	38	39	39.9	40.9	41.8	42.7	43.6	44.4	45.2	46	46.8	47.6
0.16	25.1	25.5	25.9	26.2	26.5	26.9	27.6	28.5	29.5	30.4	31.2	32.1	32.9	33.8	34.8	35.7	36.6	37.6	38.5	39.5	40.4	41.3	42.2	43.1	43.9	44.8	45.6	46.3	47.1	47.8
0.17	26.2	26.6	27	27.4	27.7	27.9	28.4	29.2	30.2	31.1	32	32.8	33.6	34.5	35.4	36.3	37.2	38.1	39	39.9	40.8	41.7	42.6	43.4	44.3	45.1	45.9	46.6	47.4	48.1
0.18	27.4	27.7	28.1	28.5	28.8	29.1	29.3	29.9	30.8	31.8	32.7	33.5	34.3	35.1	36	36.8	37.7	38.6	39.5	40.4	41.2	42.1	43	43.8	44.6	45.4	46.2	46.9	47.7	48.4
0.19	28.6	28.8	29.2	29.6	29.9	30.2	30.4	30.8	31.5	32.4	33.3	34.2	35	35.8	36.6	37.4	38.3	39.1	40	40.8	41.7	42.5	43.4	44.2	45	45.8	46.5	47.2	48	48.6
0.2	29.7	30	30.3	30.6	31	31.3	31.5	31.7	32.2	33	33.9	34.8	35.6	36.4	37.2	38	38.8	39.6	40.4	41.3	42.1	42.9	43.7	44.5	45.3	46.1	46.8	47.5	48.2	48.9
0.21	30.9	31.1	31.4	31.7	32.1	32.4	32.7	32.8	33	33.7	34.5	35.4	36.2	37	37.7	38.5	39.3	40.1	40.9	41.7	42.5	43.3	44.1	44.9	45.7	46.4	47.1	47.8	48.5	49.2
0.22	32.2	32.3	32.5	32.8	33.1	33.4	33.8	33.9	34	34.4	35.1	36	36.8	37.6	38.3	39.1	39.8	40.6	41.4	42.2	42.9	43.7	44.5	45.2	46	46.7	47.4	48.1	48.8	49.4
0.23	33.4	33.5	33.6	33.9	34.1	34.5	34.8	35	35.1	35.2	35.8	36.5	37.3	38.1	38.9	39.6	40.3	41.1	41.8	42.6	43.4	44.1	44.9	45.6	46.3	47	47.7	48.4	49.1	49.7
0.24	34.7	34.8	34.8	34.9	35.2	35.5	35.8	36.1	36.1	36.2	36.5	37.1	37.9	38.7	39.4	40.1	40.8	41.6	42.3	43	43.8	44.5	45.2	46	46.7	47.4	48	48.7	49.3	50
0.25	36	36	36	36.1	36.2	36.5	36.8	37	37.2	37.2	37.3	37.7	38.4	39.2	39.9	40.6	41.3	42	42.7	43.5	44.2	44.9	45.6	46.3	47	47.7	48.3	49	49.6	50.2
0.26	37.2	37.3	37.3	37.2	37.3	37.5	37.8	38	38.2	38.2	38.2	38.4	39	39.7	40.4	41.1	41.8	42.5	43.2	43.9	44.6	45.3	46	46.7	47.3	48	48.6	49.3	49.9	50.5
0.27	38.5	38.6	38.6	38.5	38.4	38.5	38.7	39	39.2	39.3	39.2	39.2	39.6	40.2	40.9	41.6	42.3	43	43.6	44.3	45	45.7	46.3	47	47.7	48.3	48.9	49.5	50.1	50.7
0.28	39.8	39.8	39.8	39.7	39.6	39.6	39.7	39.9	40.1	40.3	40.2	40.1	40.2	40.8	41.4	42.1	42.8	43.4	44.1	44.7	45.4	46	46.7	47.3	48	48.6	49.2	49.8	50.4	51
0.29	41	41.1	41.1	41	40.8	40.7	40.7	40.9	41	41.2	41.2	41	41	41.3	41.9	42.6	43.2	43.9	44.5	45.2	45.8	46.4	47.1	47.7	48.3	48.9	49.5	50.1	50.7	51.2
0.3	42.3	42.4	42.4	42.3	42.1	41.8	41.7	41.8	42	42.1	42.1	42	41.8	41.9	42.4	43	43.7	44.3	45	45.6	46.2	46.8	47.4	48	48.6	49.2	49.8	50.4	50.9	51.5
