Motor	LY	IO-390-C	Series	-	Fuel	Flow	-	BEST	ECONOMY																		
	% PERFOR	RPM	0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000
	0.566081393	2000	49.65295309	50.50091468	51.09630903	51.69170338	52.28709772	52.88249207	53.47788642	54.07328077	53.4911268	52.12719791	50.73030097	49.30043597	47.83760291	46.34180179	44.81303261	43.25129538	41.65659009	40.02891674	38.36827534	36.67466587	34.94808835	33.18854278	31.39602914	29.57054745	27.7120977
	0.625474172	2100	54.88380063	55.47367133	56.23194007	56.99020882	57.74847756	58.50674631	59.26501505	59.58654816	58.47091088	57.35527361	56.23963633	55.12399906	54.00836178	52.89272451	51.77708723	50.66144996	49.54581268	48.43017541	47.31453814	46.19890086	45.08326359	43.96762631	42.85198904	41.73635176	40.62071449
	0.679263133	2200	59.76419172	60.24773742	60.96962344	61.69150946	62.41339548	63.1352815	63.0388891	61.69593201	60.31992665	58.910873	57.46877108	55.99362089	54.48542241	52.94417566	51.36988063	49.76253733	48.12214574	46.44870588	44.74221774	43.00268133	41.23009664	39.42446366	37.58578242	35.71405289	33.80927509
	0.729886957	2300	64.39325281	65.02621591	65.7973142	66.56841248	67.33951077	67.43352246	66.07882472	64.68932068	63.26501037	61.80589377	60.31197089	58.78324172	57.21970627	55.62136454	53.98821652	52.32026222	50.61750164	48.87993478	47.10756163	45.30038219	43.45839647	41.58160447	39.67000619	37.72360162	35.74239077
	0.789047516	2400	69.76212284	70.46754171	71.37379744	72.28005317	71.96235447	70.60171139	69.20551322	67.77375996	66.3064516	64.80358814	63.26516959	61.69119594	60.08166719	58.43658335	56.75594442	55.03975039	53.28800126	51.50069704	49.67783772	47.81942331	45.9254538	43.9959292	42.0308495	40.0302147	37.99402481
	0.856199696	2500	75.69713493	76.66949569	77.54613411	77.28444565	75.87381308	74.42631486	72.941951	71.42072149	69.86262633	68.26766552	66.63583907	64.96714697	63.26158922	61.51916582	59.73987678	57.92372209	56.07070175	54.18081576	52.25406413	50.29044685	48.28996392	46.25261534	44.17840112	42.06732125	39.91937573
	0.927689572	2600	82.07590524	83.74264018	83.97200894	82.59295798	81.17380762	79.71455786	78.21520869	76.67576013	75.09621216	73.47656479	71.81681802	70.11697185	68.37702628	66.5969813	64.77683692	62.91659314	61.01624996	59.07580738	57.0952654	55.07462401	53.01388322	50.91304304	48.77210345	46.59106445	44.36992606
	1	2700	88.42772105	88.57909193	87.18391001	85.74903002	84.27445194	82.76017578	81.20620154	79.61252921	77.9791588	76.30609031	74.59332373	72.84085907	71.04869633	69.21683551	67.3452766	65.43401961	63.48306454	61.49241138	59.46206015	57.39201082	55.28226342	53.13281793	50.94367436	48.71483271	46.44629297
