CP\J	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9
0.02	0.0032	0.2899	0.4848	0.5745	0.5213	0.4673	0.3137	0	0	0																				
0.03	0.0027	0.2693	0.4767	0.603	0.6675	0.7058	0.7266	0.6933	0.6641	0.6147	0.5248	0.4427	0.3108	0.1843																
0.04	0.0024	0.2439	0.4503	0.5967	0.691	0.7289	0.7504	0.7954	0.7915	0.7512	0.7103	0.6723	0.6356	0.5472	0.4801	0.36	0.1409													
0.05	0.0021	0.2228	0.4203	0.5673	0.6669	0.734	0.7741	0.8044	0.82	0.821	0.8118	0.7706	0.7272	0.6938	0.6594	0.604	0.5146	0.459	0.3452		0.0674									
0.06	0.0019	0.2018	0.3907	0.5381	0.641	0.7139	0.7647	0.8009	0.821	0.831	0.8357	0.8276	0.8128	0.7657	0.7538	0.71	0.6683	0.6162	0.5562	0.4715	0.3845	0.2997	0.0912							
0.07	0.0017	0.1846	0.363	0.509	0.6157	0.6924	0.7479	0.7876	0.8157	0.8335	0.8394	0.8458	0.839	0.8263	0.8086	0.7818	0.7426	0.7001	0.6636	0.6042	0.5616	0.5007	0.4161	0.3386	0.2586					
0.08	0.0015	0.1691	0.3378	0.4809	0.5903	0.6706	0.7297	0.7728	0.8041	0.8269	0.8415	0.8493	0.8506	0.8463	0.8342	0.8168	0.7975	0.7682	0.7281	0.6974	0.6532	0.6069	0.5395	0.4846	0.4259					
0.09	0.0014	0.1555	0.315	0.4536	0.5643	0.6488	0.7113	0.7575	0.7917	0.8167	0.8356	0.8473	0.8541	0.8543	0.8503	0.8404	0.8255	0.8036	0.7832	0.7517	0.7221	0.6837	0.6444	0.6012	0.5548	0.4921	0.4421	0.3953		
0.1	0.0013	0.1429	0.2939	0.4286	0.5382	0.6262	0.6924	0.7415	0.7784	0.8062	0.8272	0.8425	0.8521	0.8573	0.8573	0.8532	0.8428	0.8303	0.8142	0.7873	0.7674	0.7385	0.7039	0.668	0.6289	0.5703	0.5232	0.4761	0.4324	0.396
