CP\J	0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9
0.02	4.7	4.8	5.2	6	6.8	8.1	9.6																							
0.03	7.6	7.8	8	8.6	9.5	10.8	12.2	13.7	15.2	16.8	18.5	20.1	21.7	23.3																
0.04	9.7	10	10.4	10.9	11.7	12.6	13.8	15.4	16.8	18.2	19.8	21.3	22.9	24.4	25.9	27.4	30.3													
0.05	11.2	11.6	12.1	12.8	13.5	14.4	15.5	16.7	18.1	19.5	20.9	22.4	23.8	25.3	26.8	28.2	29.6	31	32.3		36.1									
0.06	12.6	13.2	13.7	14.4	15.1	15.9	16.9	18	19.3	20.6	22	23.4	24.8	26.2	27.6	28.9	30.3	31.6	32.9	34.2	35.4	36.6	41							
0.07	14	14.6	15.2	15.9	16.5	17.3	18.2	19.2	20.4	21.6	22.9	24.3	25.6	27	28.3	29.6	30.9	32.2	33.5	34.7	35.9	37	38.2	39.3	40.3	41.4				
0.08	15.2	15.7	16.4	17.1	17.8	18.5	19.4	20.4	21.5	22.6	23.9	25.2	26.4	27.7	29	30.3	31.6	32.8	34	35.2	36.4	37.5	38.6	39.7	40.7	41.7				
0.09	16.4	16.8	17.5	18.2	19	19.8	20.6	21.5	22.5	23.6	24.8	26	27.2	28.5	29.7	30.9	32.2	33.4	34.5	35.7	36.8	37.9	39	40.1	41.1	42.1	43	45.7		
0.1	17.5	17.9	18.5	19.2	20.1	20.8	21.7	22.5	23.5	24.5	25.6	26.8	28	29.2	30.4	31.6	32.7	33.9	35.1	36.2	37.3	38.4	39.4	40.4	41.4	42.4	43.3	44.2	45.1	45.9
0.11	18.6	19	19.6	20.2	21	21.9	22.7	23.5	24.4	25.4	26.5	27.6	28.7	29.9	31	32.2	33.3	34.5	35.6	36.7	37.7	38.8	39.8	40.8	41.8	42.7	43.6	44.5	45.4	46.2
0.12	19.7	20.1	20.6	21.1	21.9	22.8	23.6	24.5	25.4	26.3	27.3	28.3	29.4	30.5	31.6	32.8	33.9	35	36.1	37.1	38.2	39.2	40.2	41.2	42.1	43.1	44	44.8	45.7	46.5
0.13	20.9	21.3	21.7	22.1	22.7	23.6	24.5	25.4	26.3	27.1	28.1	29.1	30.1	31.2	32.3	33.3	34.4	35.5	36.5	37.6	38.6	39.6	40.6	41.5	42.5	43.4	44.3	45.1	45.9	46.7
0.14	22.1	22.5	22.8	23.2	23.7	24.4	25.3	26.3	27.1	28	28.9	29.8	30.8	31.8	32.9	33.9	35	36	37	38	39	40	41	41.9	42.8	43.7	44.6	45.4	46.2	47
0.15	23.3	23.6	24	24.2	24.7	25.2	26.1	27.1	27.9	28.8	29.6	30.6	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5	39.4	40.4	41.3	42.3	43.2	44	44.9	45.7	46.5	47.2
0.16	24.5	24.8	25.1	25.4	25.6	26.1	26.8	27.7	28.7	29.5	30.4	31.3	32.2	33.1	34.1	35	36	37	37.9	38.9	39.8	40.8	41.7	42.6	43.5	44.3	45.2	46	46.7	47.5
0.17	25.6	26	26.3	26.6	26.7	27	27.6	28.4	29.4	30.3	31.1	32	32.8	33.7	34.6	35.6	36.5	37.5	38.4	39.3	40.3	41.2	42.1	42.9	43.8	44.6	45.4	46.2	47	47.7
0.18	26.7	27.1	27.4	27.8	27.9	28.1	28.4	29.1	30	31	31.8	32.6	33.5	34.3	35.2	36.1	37	37.9	38.8	39.8	40.7	41.6	42.4	43.3	44.1	44.9	45.7	46.5	47.3	48
0.19	27.7	28.2	28.6	28.9	29.1	29.2	29.3	29.8	30.7	31.6	32.5	33.3	34.1	34.9	35.8	36.6	37.5	38.4	39.3	40.2	41.1	41.9	42.8	43.6	44.4	45.2	46	46.8	47.5	48.2
0.2	28.7	29.1	29.5	30	30.3	30.4	30.4	30.6	31.3	32.2	33.1	33.9	34.7	35.5	36.3	37.2	38	38.9	39.7	40.6	41.5	42.3	43.1	44	44.8	45.5	46.3	47.1	47.8	48.5
0.21	29.8	30.1	30.5	31.1	31.4	31.6	31.6	31.6	32	32.8	33.7	34.5	35.3	36.1	36.9	37.7	38.5	39.3	40.2	41	41.9	42.7	43.5	44.3	45.1	45.8	46.6	47.3	48	48.7
0.22	30.9	31.2	31.5	32	32.4	32.7	32.8	32.7	32.8	33.4	34.3	35.1	35.9	36.6	37.4	38.2	39	39.8	40.6	41.4	42.2	43.1	43.8	44.6	45.4	46.1	46.9	47.6	48.3	48.9
0.23	32.1	32.3	32.6	32.9	33.4	33.7	33.9	33.8	33.7	34	34.9	35.7	36.5	37.2	38	38.7	39.5	40.3	41.1	41.8	42.6	43.4	44.2	45	45.7	46.4	47.2	47.9	48.5	49.2
0.24	33.2	33.4	33.7	33.9	34.3	34.6	35	35	34.8	34.8	35.4	36.2	37	37.7	38.5	39.2	40	40.7	41.5	42.3	43	43.8	44.5	45.3	46	46.7	47.4	48.1	48.8	49.4
0.25	34.4	34.6	34.8	35	35.2	35.6	36	36.1	36	35.7	36	36.7	37.5	38.3	39	39.7	40.4	41.2	41.9	42.7	43.4	44.2	44.9	45.6	46.3	47	47.7	48.4	49	49.7
0.26	35.7	35.8	35.9	36	36.2	36.5	36.9	37.2	37.1	36.6	36.7	37.2	38	38.8	39.5	40.2	40.9	41.6	42.3	43.1	43.8	44.5	45.2	45.9	46.6	47.3	48	48.6	49.3	49.9
0.27	37	37	37	37.1	37.2	37.5	37.8	38.1	38.1	37.7	37.4	37.8	38.6	39.3	40	40.7	41.4	42.1	42.8	43.5	44.2	44.9	45.6	46.3	46.9	47.6	48.3	48.9	49.5	50.1
0.28	38.2	38.3	38.3	38.2	38.3	38.5	38.7	38.9	39.1	38.9	38.4	38.5	39	39.8	40.5	41.2	41.8	42.5	43.2	43.9	44.5	45.2	45.9	46.6	47.2	47.9	48.5	49.2	49.8	50.4
0.29	39.5	39.6	39.5	39.4	39.4	39.4	39.7	39.9	40	40	39.5	39.2	39.5	40.3	40.9	41.6	42.3	42.9	43.6	44.3	44.9	45.6	46.2	46.9	47.5	48.2	48.8	49.4	50	50.6
0.3	40.8	40.8	40.8	40.7	40.5	40.4	40.6	40.8	40.9	41	40.7	40.2	40.2	40.8	41.4	42.1	42.7	43.4	44	44.7	45.3	45.9	46.6	47.2	47.9	48.5	49.1	49.7	50.3	50.8
0.31	42	42.1	42.1	41.9	41.7	41.5	41.5	41.7	41.8	41.9	41.7	41.2	40.9	41.3	41.8	42.5	43.2	43.8	44.4	45	45.7	46.3	46.9	47.5	48.2	48.8	49.4	49.9	50.5	51.1
0.32	43.3	43.4	43.4	43.2	43	42.7	42.5	42.6	42.7	42.8	42.7	42.3	41.7	41.8	42.3	43	43.6	44.2	44.8	45.4	46	46.6	47.3	47.9	48.5	49	49.6	50.2	50.8	51.3
0.33	44.6	44.7	44.6	44.5	44.2	43.9	43.6	43.5	43.6	43.6	43.6	43.4	42.7	42.5	42.8	43.4	44	44.6	45.2	45.8	46.4	47	47.6	48.2	48.8	49.3	49.9	50.4	51	51.5
0.34	45.9	45.9	45.9	45.8	45.5	45.1	44.7	44.4	44.5	44.5	44.5	44.3	43.7	43.2	43.4	43.8	44.4	45	45.6	46.2	46.8	47.3	47.9	48.5	49.1	49.6	50.2	50.7	51.2	51.8
0.35	47.1	47.2	47.2	47	46.8	46.4	45.9	45.5	45.4	45.4	45.3	45.2	44.8	44.1	44	44.2	44.7	45.4	46	46.6	47.1	47.7	48.2	48.8	49.4	49.9	50.4	51	51.5	52
0.36	48.4	48.5	48.5	48.3	48.1	47.7	47.2	46.6	46.3	46.2	46.2	46.1	45.8	45.1	44.6	44.7	45.2	45.8	46.4	46.9	47.5	48	48.6	49.1	49.6	50.2	50.7	51.2	51.7	52.2
0.37	49.7	49.8	49.7	49.6	49.3	48.9	48.4	47.8	47.2	47.1	47	46.9	46.7	46.1	45.3	45.3	45.6	46.1	46.8	47.3	47.8	48.4	48.9	49.4	49.9	50.5	51	51.5	52	52.4
0.38	50.9	51	51	50.9	50.6	50.2	49.7	49	48.3	48	47.9	47.7	47.5	47	46.3	45.9	46	46.5	47.1	47.7	48.2	48.7	49.2	49.7	50.2	50.7	51.2	51.7	52.2	52.7
0.39	52.2	52.3	52.3	52.2	51.9	51.5	51	50.3	49.5	48.9	48.7	48.5	48.3	48	47.2	46.5	46.5	46.9	47.4	48	48.6	49.1	49.5	50	50.5	51	51.5	52	52.4	52.9
0.4	53.5	53.6	53.6	53.4	53.2	52.8	52.2	51.6	50.7	49.9	49.5	49.4	49.1	48.8	48.2	47.3	47	47.3	47.8	48.4	48.9	49.4	49.9	50.3	50.8	51.3	51.8	52.2	52.7	53.1
0.41	54.7	54.9	54.9	54.7	54.4	54	53.5	52.8	52	51.1	50.4	50.2	49.9	49.6	49.1	48.2	47.6	47.8	48.2	48.7	49.2	49.7	50.2	50.7	51.1	51.6	52	52.5	52.9	53.4
0.42	56	56.1	56.1	56	55.7	55.3	54.8	54.1	53.2	52.2	51.4	51	50.7	50.4	50	49.2	48.3	48.1	48.6	49	49.5	50	50.4	51	51.4	51.8	52.3	52.7	53.2	53.6
0.43	57.3	57.4	57.4	57.3	57	56.6	56	55.3	54.5	53.5	52.4	51.8	51.5	51.2	50.8	50.1	49.1	48.7	48.9	49.4	49.8	50.3	50.8	51.3	51.7	52.1	52.5	53	53.4	53.8
0.44	58.6	58.7	58.7	58.5	58.3	57.9	57.3	56.6	55.7	54.7	53.6	52.7	52.3	52	51.6	51	50	49.2	49.4	49.7	50.2	50.6	51.1	51.6	52	52.4	52.8	53.2	53.6	54
0.45	59.8	60	60	59.8	59.6	59.1	58.6	57.9	57	55.9	54.8	53.7	53.1	52.8	52.3	51.8	50.9	49.9	49.7	50.1	50.5	51	51.4	51.9	52.2	52.7	53.1	53.5	53.9	54.3
0.46	61.1	61.2	61.2	61.1	60.8	60.4	59.9	59.1	58.2	57.2	56	54.8	53.9	53.5	53.1	52.6	51.8	50.7	50.2	50.4	50.8	51.3	51.7	52.1	52.6	53	53.3	53.7	54.1	54.5
0.47	62.4	62.5	62.5	62.4	62.1	61.7	61.1	60.4	59.5	58.4	57.2	55.9	54.8	54.3	53.8	53.3	52.7	51.6	50.8	50.7	51.2	51.6	52	52.4	52.8	53.2	53.6	54	54.4	54.7
0.48	63.6	63.8	63.8	63.7	63.4	63	62.4	61.6	60.7	59.6	58.4	57.1	55.8	55.1	54.6	54.1	53.5	52.5	51.4	51.1	51.5	51.9	52.3	52.7	53.1	53.4	53.9	54.2	54.6	55
0.49	64.9	65.1	65.1	64.9	64.7	64.2	63.7	62.9	62	60.9	59.6	58.3	56.9	55.9	55.3	54.8	54.2	53.4	52.2	51.7	51.7	52.2	52.6	53	53.3	53.7	54.1	54.5	54.8	55.2
0.5	66.2	66.3	66.4	66.2	65.9	65.5	64.9	64.2	63.2	62.1	60.9	59.5	58	56.7	56.1	55.5	54.9	54.2	53.1	52.2	52.1	52.5	52.9	53.3	53.6	54	54.4	54.7	55.1	55.4
